Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,Tract_1,f10yr,f20yr,f50yr,f100yr,f200yr,f500yr,f1000yr
37019020202,37019,NC1,020202,212.6830902,492.3328552,380,34.096325999999998,-77.997050999999999,118,37019020202,68.0000000,83.8000031,104.5999985,115.0000000,123.5999985,134.3000031,142.3000031
37019020203,37019,NC1,020203,63.6579742,224.3301697,82,34.135240000000003,-78.079870999999997,98,37019020203,66.5999985,82.4000015,103.1999969,113.9000015,122.5999985,133.3000031,141.0000000
37019020303,37019,NC1,020303,59.3074303,259.6955872,201,33.971325000000000,-78.183740000000000,647,37019020303,67.4000015,83.0000000,103.6999969,114.3000031,124.0000000,134.1999969,141.6999969
37019020304,37019,NC1,020304,35.2860489,190.4196320,189,33.943744000000002,-78.105391999999995,426,37019020304,68.4000015,84.0000000,104.5999985,115.1999969,124.3000031,135.3000031,142.8999939
37019020307,37019,NC1,020307,27.2206268,62.6301041,106,33.922559999999997,-77.954369000000000,140,37019020307,71.8000031,87.3000031,107.8000031,118.4000015,127.0000000,138.3999939,147.1999969
37019020309,37019,NC1,020309,6.4882216,91.1100388,206,33.918545000000002,-78.139644000000004,910,37019020309,69.0000000,84.6999969,105.5000000,116.1999969,125.6999969,136.6000061,143.8000031
37019020310,37019,NC1,020310,16.9487228,108.5786972,235,33.905092000000003,-78.060543999999993,433,37019020310,69.9000015,85.5000000,106.1999969,116.6999969,125.8000031,136.6000061,144.8000031
37019020403,37019,NC1,020403,32.2059135,271.2418213,285,33.939976000000001,-78.340751999999995,339,37019020403,66.6999969,82.4000015,103.1999969,114.4000015,123.8000031,135.3999939,143.1000061
37019020404,37019,NC1,020404,37.0178185,265.7940369,115,33.965967999999997,-78.304523000000003,136,37019020404,66.5999985,82.4000015,103.1999969,114.0999985,123.5999985,135.1999969,142.1000061
37019020405,37019,NC1,020405,30.7356911,185.1134949,116,33.972946000000000,-78.268523999999999,777,37019020405,66.8000031,82.5999985,103.4000015,114.1999969,123.5000000,135.5000000,141.8000031
37019020505,37019,NC1,020505,185.8002014,450.2879333,145,33.992283999999998,-78.546503999999999,901,37019020505,64.0999985,79.9000015,100.8000031,111.9000015,121.1999969,133.0000000,140.5000000
37019020509,37019,NC1,020509,31.7579765,262.0484314,257,33.898569999999999,-78.510706999999996,530,37019020509,65.5999985,81.3000031,102.0999985,113.8000031,123.3000031,134.6999969,142.3000031
37019020511,37019,NC1,020511,10.8444214,121.2302704,125,33.912888000000002,-78.401505999999998,425,37019020511,66.8000031,82.5999985,103.5000000,115.0999985,124.4000015,136.1000061,143.3999939
37019020512,37019,NC1,020512,17.9971714,86.5951233,177,33.880063000000000,-78.485675999999998,646,37019020512,68.4000015,84.5999985,106.0999985,118.1999969,128.3999939,140.6999969,147.8000031
37019020601,37019,NC1,020601,386.3482056,912.8210449,494,34.082329000000001,-78.416552999999993,734,37019020601,64.5000000,80.4000015,101.4000015,112.0999985,121.4000015,133.1000061,139.8999939
37019020603,37019,NC1,020603,79.4058762,291.6856384,169,34.016947000000002,-78.192949999999996,285,37019020603,66.9000015,82.5000000,103.1999969,114.0000000,123.5000000,134.1999969,140.3000031
37025040500,37025,NC1,040500,50.5727348,342.9789124,211,35.366135000000000,-80.538233000000005,359,37025040500,37.5000000,48.5000000,63.0999985,71.9000015,80.0000000,90.1999969,96.6999969
37025040600,37025,NC1,040600,104.7756424,448.0914001,175,35.464060000000003,-80.507322000000002,752,37025040600,36.9000015,48.0000000,62.5999985,71.1999969,79.0999985,89.1999969,96.6999969
37025040702,37025,NC1,040702,9.0794172,108.0695953,131,35.486353000000001,-80.593598999999998,418,37025040702,36.2000008,47.2999992,61.9000015,70.5000000,78.4000015,88.1999969,95.0000000
37025040703,37025,NC1,040703,4.3334208,73.2334976,123,35.461601000000002,-80.600989999999996,173,37025040703,36.2999992,47.4000015,62.0000000,70.5999985,78.5000000,88.5999985,95.3000031
37025040800,37025,NC1,040800,3.8317399,76.0440369,160,35.490580999999999,-80.617975000000001,494,37025040800,36.0000000,47.0999985,61.7999992,70.3000031,78.1999969,88.0000000,95.4000015
37025041000,37025,NC1,041000,8.4757967,127.0389786,213,35.489660999999998,-80.638371000000006,651,37025041000,35.7999992,47.0000000,61.7000008,70.1999969,78.0000000,87.5999985,94.6999969
37025041301,37025,NC1,041301,39.9925346,191.0118103,93,35.468693999999999,-80.748513000000003,277,37025041301,35.2000008,46.4000015,61.2000008,70.0000000,77.5000000,86.8000031,93.3000031
37025041302,37025,NC1,041302,20.7587280,136.4603882,133,35.425096000000003,-80.728364999999997,31,37025041302,35.7000008,46.9000015,61.7000008,70.1999969,78.0000000,87.0999985,93.5999985
37025041303,37025,NC1,041303,20.6656628,131.3879700,155,35.392932000000002,-80.733887999999993,712,37025041303,36.0000000,47.2000008,61.9000015,70.3000031,78.3000031,87.3000031,94.0000000
37025041501,37025,NC1,041501,27.6425171,182.8474731,153,35.312086999999998,-80.636831999999998,952,37025041501,37.2000008,48.2999992,62.9000015,71.5999985,79.5999985,89.3000031,96.0999985
37025041502,37025,NC1,041502,37.1141930,180.0085602,80,35.277816000000001,-80.618018000000006,662,37025041502,37.5999985,48.7000008,63.2999992,71.9000015,80.0000000,89.8000031,96.5999985
37025041503,37025,NC1,041503,21.4052391,106.8330231,68,35.323816000000001,-80.580574999999996,982,37025041503,37.5000000,48.5000000,63.0999985,71.9000015,80.0000000,89.8000031,96.5000000
37025041601,37025,NC1,041601,144.9711761,555.4395142,346,35.265774000000000,-80.520161999999999,375,37025041601,38.4000015,49.4000015,64.0000000,72.9000015,81.0000000,91.0000000,97.6999969
37025041602,37025,NC1,041602,57.9003677,224.3935089,78,35.343190000000000,-80.461674000000002,980,37025041602,38.2000008,49.2000008,63.7000008,72.5000000,80.8000031,90.8000031,98.1999969
37025041702,37025,NC1,041702,103.5671387,431.5906067,128,35.460906000000001,-80.396759000000003,121,37025041702,37.7000008,48.7000008,63.2000008,72.0000000,79.9000015,90.3000031,98.3000031
37025042101,37025,NC1,042101,3.6679566,52.3281670,96,35.394981000000001,-80.582510999999997,802,37025042101,36.9000015,48.0000000,62.5999985,71.3000031,79.3000031,89.3000031,95.9000015
37025042102,37025,NC1,042102,3.8027980,47.6400032,59,35.373348000000000,-80.589540999999997,728,37025042102,37.0000000,48.0999985,62.7000008,71.4000015,79.3000031,89.3000031,96.0000000
37025042200,37025,NC1,042200,13.5440502,146.0546265,167,35.392335000000003,-80.561064999999999,569,37025042200,37.0999985,48.2000008,62.7999992,71.5000000,79.5000000,89.5000000,96.3000031
37025042401,37025,NC1,042401,11.2534771,134.4913025,176,35.444414999999999,-80.586820000000003,439,37025042401,36.5000000,47.5999985,62.2000008,70.8000031,78.8000031,88.9000015,95.5999985
37025042501,37025,NC1,042501,11.0331249,107.7888184,58,35.420192999999998,-80.641627999999997,338,37025042501,36.2999992,47.4000015,62.0999985,70.6999969,78.5000000,88.5000000,95.4000015
37025042502,37025,NC1,042502,3.4376490,56.7880898,22,35.405543000000002,-80.621369000000001,959,37025042502,36.5999985,47.7000008,62.2999992,70.9000015,78.8000031,88.5000000,95.8000031
37025042601,37025,NC1,042601,8.7116156,86.6958389,32,35.392778000000000,-80.679298000000003,322,37025042601,36.2999992,47.4000015,62.0999985,70.6999969,78.5999985,87.6999969,94.8000031
37025042604,37025,NC1,042604,9.4956484,83.4216080,87,35.330033000000000,-80.655933000000005,958,37025042604,36.9000015,48.0000000,62.5999985,71.3000031,79.1999969,89.0000000,95.6999969
37031970101,37031,NC1,970101,28.2940826,87.1623764,64,34.884641999999999,-76.359943999999999,436,37031970101,73.9000015,86.8000031,103.9000015,112.8000031,119.9000015,129.3000031,134.5000000
37031970301,37031,NC1,970301,98.1989975,218.0461121,156,34.829607000000003,-76.655576999999994,409,37031970301,70.9000015,84.4000015,102.1999969,111.1999969,118.5999985,127.3000031,132.8999939
37031970303,37031,NC1,970303,2.8566031,29.6154366,71,34.711675000000000,-76.663543000000004,365,37031970303,76.1999969,89.9000015,107.9000015,117.3000031,124.8000031,134.1000061,140.1000061
37031970304,37031,NC1,970304,8.9288530,73.9706039,119,34.713048999999998,-76.626553999999999,978,37031970304,74.4000015,88.0000000,105.9000015,115.4000015,122.9000015,131.8999939,137.3999939
37031970401,37031,NC1,970401,2.1149807,33.6147728,63,34.729118000000000,-76.755604000000005,727,37031970401,72.3000031,86.1999969,104.5999985,113.6999969,121.3000031,130.0000000,136.1000061
37031970402,37031,NC1,970402,2.3905513,39.5719604,95,34.724276000000003,-76.710194000000001,532,37031970402,74.4000015,88.0999985,106.1999969,115.3000031,122.9000015,132.1000061,138.1000061
37031970403,37031,NC1,970403,2.5567310,57.5884132,126,34.722113999999998,-76.738339999999994,293,37031970403,73.3000031,87.3000031,105.9000015,115.4000015,123.0999985,131.8999939,137.3999939
37031970503,37031,NC1,970503,2.3740673,35.2975273,48,34.734957999999999,-76.749510000000001,658,37031970503,72.1999969,86.0000000,104.1999969,113.3000031,121.0999985,129.8999939,135.1999969
37031970504,37031,NC1,970504,6.6311693,44.2484627,59,34.750853999999997,-76.698130000000006,869,37031970504,75.0999985,89.0999985,107.5000000,117.0000000,124.9000015,134.3000031,140.3999939
37031970601,37031,NC1,970601,2.9431708,34.9400215,24,34.722445000000000,-76.920585000000003,82,37031970601,71.3000031,85.5000000,104.3000031,114.6999969,122.0999985,131.0000000,137.3999939
37031970603,37031,NC1,970603,11.6181269,50.1046257,19,34.742617000000003,-76.867756000000000,491,37031970603,70.4000015,84.3000031,102.6999969,112.5999985,119.6999969,127.9000015,134.5000000
37031970605,37031,NC1,970605,2.3986623,33.8124962,53,34.727604999999997,-76.794892000000004,558,37031970605,72.0999985,86.1999969,104.8000031,114.4000015,121.8000031,130.8999939,137.1000061
37031970701,37031,NC1,970701,19.9348507,76.5621185,55,34.747940999999997,-76.917788999999999,101,37031970701,69.9000015,83.8000031,102.1999969,112.0000000,119.0000000,127.9000015,134.6000061
37031970702,37031,NC1,970702,40.5131836,127.5861282,67,34.797508999999998,-76.905428999999998,274,37031970702,69.3000031,83.0999985,101.4000015,111.1999969,118.0999985,127.0999985,133.3000031
37031970703,37031,NC1,970703,13.5913563,113.7327576,193,34.790483000000002,-76.864017000000004,523,37031970703,69.5999985,83.4000015,101.6999969,111.5000000,118.5000000,126.6999969,134.1999969
37031970704,37031,NC1,970704,145.2200012,212.7660980,96,34.815401000000001,-76.780685000000005,296,37031970704,70.0999985,83.9000015,102.1999969,111.5999985,118.6999969,127.5000000,133.8999939
